media_category,media_sub_category,media_type,media,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01
Working,Offline,Print,Press Mags,175000,175000,140000,140000,140000,130000,150000,170000,150000,150000,120000,120000
Working,Offline,Local,Door Drops,215000,215000,180000,180000,75000,75000,180000,180000,180000,180000,0,0
Working,Offline,TV,Sponsorship,83333,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000
Working,Offline,TV,TV Spot Media - DRTV,280000,280000,225000,225000,175000,0,250000,250000,175000,330000,0,180000
Working,Offline,TV,TV Spot Media - Alltime ,0,0,0,0,0,0,0,0,0,0,0,0
Working,Offline,Local,Local Media Marketing,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
Working,Offline,Radio,Radio,60000,60000,0,0,0,0,60000,60000,0,85000,0,0
Working,Offline,PR,PR,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
Fees,Offline,Offline Agency,Infinity fees,500,500,500,500,500,500,500,500,500,500,500,500
Fees,Offline,TV,TV Sponsorship Fees,7000,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
Fees,Offline,Offline Agency,Media Agency Retainer,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Fees,Offline,Research,Market Research,7500,0,0,7500,0,0,0,0,7500,0,0,0
Fees,Offline,Research,Ipsos/Mintel/YouG/Which,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
Working,Offline,Reviews,Trustpilot,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
Working,Online,Content,Content,0,0,0,0,0,0,0,0,0,0,0,0
Working,Online,Digital,Influencers,0,0,0,0,0,0,0,0,0,0,0,0
Fees,Online,Digital,Digital Production Total,0,0,0,0,0,0,0,0,0,0,0,0
Working,Online,Search,Brand Paid Search,45000,45000,50000,30000,30000,30000,40000,40000,50000,50000,30000,30000
Working,Online,Search,Non Brand Paid Search,65000,65000,30000,20000,20000,20000,24000,24000,30000,30000,20000,20000
Working,Online,Digital,Paid Social,50000,50000,50000,40000,35000,35000,40000,40000,40000,50000,40000,40000
Working,Online,Digital,Digital Display,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Working,Online,Digital,Email,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Fees,Online,Digital Agency,Digital Fees / JF Monthly Fees,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500,18500
Fees,Online,Website,Ongoing web development / maintenance,0,0,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
Fees,Online,Website,Hosting Website,0,0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Fees,Online,Website,Performanace / Optimisation Tools (senrush),0,0,500,500,500,500,500,500,500,500,500,500
